ISO2,countryname,SP,year,c1_visits,c2_user,c3_pdoDeliver,c3_pdoDeliver_pid,c4_events,c6_eAttendees,c7_policy,c8_allEvent,c9_cEvent,c10_pdoStored,c10_pdoStored_pid,c13_staff,c14_nfunds,c15_cstaff,c16_cfunds,c18_trl8,c18_trl6,c19_pub,c19a_peer
MK,North Macedonia,MK DASS,2024,,,,,,,N/A,,N/A,,,0.5,,,,Not evaluated,Not evaluated,,Don't know
MK,North Macedonia,MK DASS,2025,,,,,1,15,00--06,2,00--05,,,0.5,0,0.5,0,Not evaluated,Not evaluated,,Don't know
NL,Netherlands,DANS,2020,1018415,23715,6441,6441,8,,13--24,89,N/A,6193,6193,48,3425000,0.2,,04--06,,,
NL,Netherlands,DANS,2021,813264,24900,10498,10498,7,,25--36,93,N/A,7141,7141,48,3455000,0.1,,04--06,,,
NL,Netherlands,DANS,2022,927172,27032,9527,9527,7,,>=37,66,N/A,7380,7380,49,3482000,0.1,,04--06,,,
NL,Netherlands,DANS,2023,622299,1525,6066,6066,16,315,>=37,52,10--14,7228,7228,45,3800000,0.1,,07--09,>=13,46,<=19%
NL,Netherlands,DANS,2024,384432,2610,14841,14841,19,386,>=37,68,10--14,7833,7833,49,4000000,0.1,,07--09,10--12,47,<=19%
NL,Netherlands,DANS,2025,991906,3912,75214,75214,22,450,>=37,61,06--09,8035,8035,52,4304000,0.1,0,04--06,06--09,664,20--39%
NO,Norway,Sikt,2020,5076497,200000,23500,23500,33,765,13--24,43,00--05,3500,3500,95,1270000,,,>=10,,,
NO,Norway,Sikt,2021,6500000,1000000,24000,24000,55,2800,07--12,77,00--05,3550,3550,98,1520000,0.5,,>=10,,,
NO,Norway,Sikt,2022,2311228,211739,112908,112908,43,1030,07--12,57,06--09,3985,3985,26.4,2100000,0.3,,>=10,,,
NO,Norway,Sikt,2023,107578,230426,79623,79623,8,390,07--12,21,10--14,2846,2846,25.4,1770960,0.6,,>=10,10--12,7843,60--79%
NO,Norway,Sikt,2024,372865,249738,101001,101001,10,265,07--12,12,06--09,2917,2917,24.2,1913368,,,>=10,10--12,10804,>=80%
NO,Norway,Sikt,2025,1291000,274231,104361,104361,11,340,07--12,27,15--23,3080,3080,24.7,1813187,0,0,>=10,10--12,10211,>=80%
PT,Portugal,APIS,2020,1417,,30,30,5,80,00--06,8,00--05,70,70,2.1,35000,2,20000,0,,,
PT,Portugal,APIS,2021,1443,,92,92,6,35,00--06,8,00--05,92,92,2,30000,,,Not evaluated,,,
PT,Portugal,APIS,2022,,,96,96,3,145,00--06,4,00--05,96,96,1.25,25000,,,0,,1,
PT,Portugal,APIS,2023,,,,,,,N/A,,N/A,,,,,,,N/A,N/A,,
PT,Portugal,APIS,2024,,,,,,,N/A,,N/A,,,,,,,N/A,N/A,,
PT,Portugal,APIS,2025,,,,,,,N/A,,N/A,,,,,,,N/A,N/A,,
RS,Serbia,DCS,2020,,,0,,,,00--06,4,00--05,27,27,0.5,27000,2,1270,0,,,
RS,Serbia,DCS,2021,,,0,,1,40,00--06,5,00--05,27,27,2,12000,2,,0,,,
RS,Serbia,DCS,2022,,,,,,,N/A,,N/A,,,,,,,Not evaluated,,,
RS,Serbia,DCS,2023,,,,,,,N/A,,N/A,,,,,,,N/A,N/A,,
RS,Serbia,DCS,2024,,,,,,,N/A,,N/A,,,,,,,N/A,N/A,,
SE,Sweden,SND,2020,63000,,,,10,300,00--06,40,N/A,1286,1286,28,3000000,1.2,100000,0,,,
SE,Sweden,SND,2021,98932,2220,22582,22582,23,1200,00--06,52,00--05,1365,1365,28,3200000,0.6,100000,0,,,
SE,Sweden,SND,2022,131326,2882,61365,61365,25,774,00--06,45,00--05,2671,2671,25.4,3104538,0.5,94000,0,,,
SE,Sweden,SND,2023,66626,3255,44300,44300,19,703,25--36,44,06--09,2793,2793,24.4,3308000,0.5,96000,04--06,03--05,,Don't know
SE,Sweden,SND,2024,151429,3970,99992,99992,18,568,>=37,35,06--09,2938,2938,24.47,3317000,0.5,96000,04--06,03--05,,Don't know
SE,Sweden,SND,2025,183134,4690,211538,211538,11,155,>=37,44,10--14,2888,2888,25.2,3186792,0.5,90364,04--06,03--05,,Don't know
SI,Slovenia,ADP,2020,65782,348,,,14,344,00--06,21,00--05,841,841,8,170000,1.6,80000,04--06,,,
SI,Slovenia,ADP,2021,21829,399,444,444,17,690,00--06,20,00--05,561,561,8,130000,1.2,81500,04--06,,,
SI,Slovenia,ADP,2022,18250,442,524,524,10,408,00--06,20,06--09,601,601,9.25,150000,2,80000,04--06,,,
SI,Slovenia,ADP,2023,15793,471,543,543,13,640,00--06,20,06--09,614,614,8.8,285000,1.9,150000,04--06,06--09,22,>=80%
SI,Slovenia,ADP,2024,15617,493,569,569,24,650,00--06,27,00--05,637,637,8.5,300000,1.7,170000,07--09,00--02,24,>=80%
SI,Slovenia,ADP,2025,18553,253,2730,2730,31,675,25--36,46,>=24,652,652,9.8,331000,3.7,175000,07--09,10--12,18,>=80%
SK,Slovakia,SASD,2020,5063,,297,297,,,00--06,,00--05,67,67,0.5,6000,0.3,,0,,,
SK,Slovakia,SASD,2021,5754,,328,328,5,250,00--06,5,00--05,74,74,0.5,6000,0.3,,0,,123,
SK,Slovakia,SASD,2022,8705,,326,326,,,00--06,1,00--05,82,82,0.5,6000,0.3,,0,,125,
SK,Slovakia,SASD,2023,6580.5,,245,245,12,288,00--06,17,06--09,103,103,1.2,,0.4,,Not evaluated,Not evaluated,131,>=80%
SK,Slovakia,SASD,2024,4456,,440,440,14,293,00--06,25,06--09,105,105,1.2,45000,0.4,800,Not evaluated,Not evaluated,141,>=80%
SK,Slovakia,SASD,2025,60854,,417,417,21,624,00--06,2,00--05,114,114,3,141125,0.5,2000,Not evaluated,Not evaluated,153,>=80%
UK,United Kingdom,UKDS,2020,1355403,46677,256434,256434,106,5845,07--12,242,>=24,10305,10305,56,3358686,2.61,150584,0,,,
UK,United Kingdom,UKDS,2021,1059931,47167,215979,215979,93,5029,00--06,134,10--14,8530,8530,62.2,4409108,2.66,75932,Not evaluated,,572188,
UK,United Kingdom,UKDS,2022,873844,47998,212546,212546,116,6977,00--06,169,15--23,9021,9021,69.95,5185091,2.8,148707,Not evaluated,,646308,
UK,United Kingdom,UKDS,2023,2951843,48471,236900,236900,153,5620,>=37,365,15--23,9298,9298,75.3,7278987,2.8,157630,>=10,>=13,515928,Don't know
UK,United Kingdom,UKDS,2024,3199045,52236,205910,205910,176,4224,>=37,415,>=24,9700,9700,65.7,7043475,2.6,167403,>=10,>=13,584146,Don't know
UK,United Kingdom,UKDS,2025,834639,54687,164605,164605,109,4459,13--24,275,15--23,12049,12049,65.5,7636453,2,171586,>=10,>=13,810652,Don't know
